sample_id,family_id,well_id,depth_m,fold_id,truth_model_domain,prediction_model_domain,truth_physical,prediction_physical_unclipped,prediction_physical_bounded
reservoir_property_p51_r1-c82c5b891df29e7e1807,15/9-19,15/9-19 A,3839.5656,1,0.144600003958,0.171268808794,0.144600003958,0.171268808794,0.171268808794
reservoir_property_p51_r1-1963a20e391bb3309902,15/9-19,15/9-19 A,3841.6992,1,0.204208001494,0.190030488999,0.204208001494,0.190030488999,0.190030488999
reservoir_property_p51_r1-fe974d79cb240d283870,15/9-19,15/9-19 A,3843.8328,1,0.194913998246,0.21619761734,0.194913998246,0.21619761734,0.21619761734
reservoir_property_p51_r1-554169715805611d6505,15/9-19,15/9-19 A,3845.9664,1,0.23662699759,0.211662892688,0.23662699759,0.211662892688,0.211662892688
reservoir_property_p51_r1-e9faa83dbd75146b922d,15/9-19,15/9-19 A,3848.1,1,0.0314470008016,0.165123355944,0.0314470008016,0.165123355944,0.165123355944
reservoir_property_p51_r1-b21ead1ab61170abe768,15/9-19,15/9-19 A,3850.2336,1,0.034145001322,0.186478755421,0.034145001322,0.186478755421,0.186478755421
reservoir_property_p51_r1-8cbfd7b4b6577ea396b6,15/9-19,15/9-19 A,3852.3672,1,0.196180000901,0.187288439765,0.196180000901,0.187288439765,0.187288439765
reservoir_property_p51_r1-157edc8d66166411b41c,15/9-19,15/9-19 A,3854.5008,1,0.00158699997701,0.11717409373,0.00158699997701,0.11717409373,0.11717409373
reservoir_property_p51_r1-eefb76085578cf371e11,15/9-19,15/9-19 A,3856.6344,1,0.175017997622,0.147555231442,0.175017997622,0.147555231442,0.147555231442
reservoir_property_p51_r1-ba88d3aa1dead4c37a0a,15/9-19,15/9-19 A,3858.768,1,0.18601000309,0.214409207111,0.18601000309,0.214409207111,0.214409207111
reservoir_property_p51_r1-4b01174c986da8207347,15/9-19,15/9-19 A,3860.9016,1,0.213034003973,0.236691013768,0.213034003973,0.236691013768,0.236691013768
reservoir_property_p51_r1-adc4e2d20a333d442972,15/9-19,15/9-19 A,3863.0352,1,0.240342006087,0.257148418847,0.240342006087,0.257148418847,0.257148418847
reservoir_property_p51_r1-86ed2576ff87ddf2e6f9,15/9-19,15/9-19 A,3865.1688,1,0.236406996846,0.255467753421,0.236406996846,0.255467753421,0.255467753421
reservoir_property_p51_r1-71e20c83ac5524dbd4aa,15/9-19,15/9-19 A,3867.3024,1,0.216886997223,0.251523704216,0.216886997223,0.251523704216,0.251523704216
reservoir_property_p51_r1-8b23836a45e0e18009f5,15/9-19,15/9-19 A,3869.436,1,0.228070005774,0.25511046674,0.228070005774,0.25511046674,0.25511046674
reservoir_property_p51_r1-ee4a3c96e1393e892666,15/9-19,15/9-19 A,3871.5696,1,0.236803993583,0.257479165305,0.236803993583,0.257479165305,0.257479165305
reservoir_property_p51_r1-8cffe42d063d40cd6fd3,15/9-19,15/9-19 A,3873.7032,1,0.217656001449,0.233735500955,0.217656001449,0.233735500955,0.233735500955
reservoir_property_p51_r1-74be318bc57b2dd39843,15/9-19,15/9-19 A,3875.8368,1,0.128850996494,0.162560856359,0.128850996494,0.162560856359,0.162560856359
reservoir_property_p51_r1-ef6176b25058728b8a75,15/9-19,15/9-19 A,3877.9704,1,0.245000004768,0.134842432977,0.245000004768,0.134842432977,0.134842432977
reservoir_property_p51_r1-2b8e6ccf04b6acc524ba,15/9-19,15/9-19 A,3880.104,1,0.115680001676,0.175183262284,0.115680001676,0.175183262284,0.175183262284
reservoir_property_p51_r1-05f0299cb2d43e708a38,15/9-19,15/9-19 A,3882.2376,1,0.214941993356,0.212231280263,0.214941993356,0.212231280263,0.212231280263
reservoir_property_p51_r1-0bbb78431a16c310d16d,15/9-19,15/9-19 A,3884.3712,1,0.167184993625,0.196916839786,0.167184993625,0.196916839786,0.196916839786
