sample_id,family_id,well_id,depth_m,fold_id,truth_model_domain,prediction_model_domain,truth_physical,prediction_physical_unclipped,prediction_physical_bounded
reservoir_property_p51_r1-c82c5b891df29e7e1807,15/9-19,15/9-19 A,3839.5656,1,0.144600003958,0.17588167165,0.144600003958,0.17588167165,0.17588167165
reservoir_property_p51_r1-1963a20e391bb3309902,15/9-19,15/9-19 A,3841.6992,0,0.204208001494,0.194025861192,0.204208001494,0.194025861192,0.194025861192
reservoir_property_p51_r1-fe974d79cb240d283870,15/9-19,15/9-19 A,3843.8328,1,0.194913998246,0.216972802291,0.194913998246,0.216972802291,0.216972802291
reservoir_property_p51_r1-554169715805611d6505,15/9-19,15/9-19 A,3845.9664,0,0.23662699759,0.214224003134,0.23662699759,0.214224003134,0.214224003134
reservoir_property_p51_r1-e9faa83dbd75146b922d,15/9-19,15/9-19 A,3848.1,0,0.0314470008016,0.168424306989,0.0314470008016,0.168424306989,0.168424306989
reservoir_property_p51_r1-b21ead1ab61170abe768,15/9-19,15/9-19 A,3850.2336,1,0.034145001322,0.186399514893,0.034145001322,0.186399514893,0.186399514893
reservoir_property_p51_r1-8cbfd7b4b6577ea396b6,15/9-19,15/9-19 A,3852.3672,0,0.196180000901,0.182188308096,0.196180000901,0.182188308096,0.182188308096
reservoir_property_p51_r1-157edc8d66166411b41c,15/9-19,15/9-19 A,3854.5008,2,0.00158699997701,0.114084169112,0.00158699997701,0.114084169112,0.114084169112
reservoir_property_p51_r1-eefb76085578cf371e11,15/9-19,15/9-19 A,3856.6344,2,0.175017997622,0.143218632211,0.175017997622,0.143218632211,0.143218632211
reservoir_property_p51_r1-ba88d3aa1dead4c37a0a,15/9-19,15/9-19 A,3858.768,3,0.18601000309,0.207873800524,0.18601000309,0.207873800524,0.207873800524
reservoir_property_p51_r1-4b01174c986da8207347,15/9-19,15/9-19 A,3860.9016,1,0.213034003973,0.234856855161,0.213034003973,0.234856855161,0.234856855161
reservoir_property_p51_r1-adc4e2d20a333d442972,15/9-19,15/9-19 A,3863.0352,3,0.240342006087,0.250029416966,0.240342006087,0.250029416966,0.250029416966
reservoir_property_p51_r1-86ed2576ff87ddf2e6f9,15/9-19,15/9-19 A,3865.1688,3,0.236406996846,0.249187244154,0.236406996846,0.249187244154,0.249187244154
reservoir_property_p51_r1-71e20c83ac5524dbd4aa,15/9-19,15/9-19 A,3867.3024,1,0.216886997223,0.248195757472,0.216886997223,0.248195757472,0.248195757472
reservoir_property_p51_r1-8b23836a45e0e18009f5,15/9-19,15/9-19 A,3869.436,1,0.228070005774,0.252420342748,0.228070005774,0.252420342748,0.252420342748
reservoir_property_p51_r1-ee4a3c96e1393e892666,15/9-19,15/9-19 A,3871.5696,0,0.236803993583,0.250152479954,0.236803993583,0.250152479954,0.250152479954
reservoir_property_p51_r1-8cffe42d063d40cd6fd3,15/9-19,15/9-19 A,3873.7032,1,0.217656001449,0.229429484852,0.217656001449,0.229429484852,0.229429484852
reservoir_property_p51_r1-74be318bc57b2dd39843,15/9-19,15/9-19 A,3875.8368,0,0.128850996494,0.154661231832,0.128850996494,0.154661231832,0.154661231832
reservoir_property_p51_r1-ef6176b25058728b8a75,15/9-19,15/9-19 A,3877.9704,2,0.245000004768,0.128853796693,0.245000004768,0.128853796693,0.128853796693
reservoir_property_p51_r1-2b8e6ccf04b6acc524ba,15/9-19,15/9-19 A,3880.104,0,0.115680001676,0.168955807806,0.115680001676,0.168955807806,0.168955807806
