sample_id,family_id,well_id,depth_m,fold_id,truth_model_domain,prediction_model_domain,truth_physical,prediction_physical_unclipped,prediction_physical_bounded
reservoir_property_p51_r1-c82c5b891df29e7e1807,15/9-19,15/9-19 A,3839.5656,1,0.278200000525,0.362463544967,0.278200000525,0.362463544967,0.362463544967
reservoir_property_p51_r1-1963a20e391bb3309902,15/9-19,15/9-19 A,3841.6992,1,0.179399996996,0.29443300697,0.179399996996,0.29443300697,0.29443300697
reservoir_property_p51_r1-fe974d79cb240d283870,15/9-19,15/9-19 A,3843.8328,1,0.320199996233,0.269861920094,0.320199996233,0.269861920094,0.269861920094
reservoir_property_p51_r1-554169715805611d6505,15/9-19,15/9-19 A,3845.9664,1,0.208000004292,0.307818866447,0.208000004292,0.307818866447,0.307818866447
reservoir_property_p51_r1-e9faa83dbd75146b922d,15/9-19,15/9-19 A,3848.1,1,0.859700024128,0.399005127223,0.859700024128,0.399005127223,0.399005127223
reservoir_property_p51_r1-b21ead1ab61170abe768,15/9-19,15/9-19 A,3850.2336,1,0.851899981499,0.363153632015,0.851899981499,0.363153632015,0.363153632015
reservoir_property_p51_r1-8cbfd7b4b6577ea396b6,15/9-19,15/9-19 A,3852.3672,1,0.203700006008,0.377340480585,0.203700006008,0.377340480585,0.377340480585
reservoir_property_p51_r1-157edc8d66166411b41c,15/9-19,15/9-19 A,3854.5008,1,1,0.532208901293,1,0.532208901293,0.532208901293
reservoir_property_p51_r1-eefb76085578cf371e11,15/9-19,15/9-19 A,3856.6344,1,0.259600013494,0.447771197417,0.259600013494,0.447771197417,0.447771197417
reservoir_property_p51_r1-ba88d3aa1dead4c37a0a,15/9-19,15/9-19 A,3858.768,1,0.232600003481,0.257510764769,0.232600003481,0.257510764769,0.257510764769
reservoir_property_p51_r1-4b01174c986da8207347,15/9-19,15/9-19 A,3860.9016,1,0.101400002837,0.174016071987,0.101400002837,0.174016071987,0.174016071987
reservoir_property_p51_r1-adc4e2d20a333d442972,15/9-19,15/9-19 A,3863.0352,1,0.100900001824,0.0977263809504,0.100900001824,0.0977263809504,0.0977263809504
reservoir_property_p51_r1-86ed2576ff87ddf2e6f9,15/9-19,15/9-19 A,3865.1688,1,0.0854000002146,0.105305370628,0.0854000002146,0.105305370628,0.105305370628
reservoir_property_p51_r1-71e20c83ac5524dbd4aa,15/9-19,15/9-19 A,3867.3024,1,0.0934000015259,0.131301990175,0.0934000015259,0.131301990175,0.131301990175
reservoir_property_p51_r1-8b23836a45e0e18009f5,15/9-19,15/9-19 A,3869.436,1,0.0854000002146,0.115290303459,0.0854000002146,0.115290303459,0.115290303459
reservoir_property_p51_r1-ee4a3c96e1393e892666,15/9-19,15/9-19 A,3871.5696,1,0.101199999452,0.10078325119,0.101199999452,0.10078325119,0.10078325119
reservoir_property_p51_r1-8cffe42d063d40cd6fd3,15/9-19,15/9-19 A,3873.7032,1,0.104400001466,0.196872872355,0.104400001466,0.196872872355,0.196872872355
reservoir_property_p51_r1-74be318bc57b2dd39843,15/9-19,15/9-19 A,3875.8368,1,0.350600004196,0.414198253923,0.350600004196,0.414198253923,0.414198253923
reservoir_property_p51_r1-ef6176b25058728b8a75,15/9-19,15/9-19 A,3877.9704,1,0.169599995017,0.515296727081,0.169599995017,0.515296727081,0.515296727081
reservoir_property_p51_r1-2b8e6ccf04b6acc524ba,15/9-19,15/9-19 A,3880.104,1,0.325599998236,0.435323754233,0.325599998236,0.435323754233,0.435323754233
reservoir_property_p51_r1-05f0299cb2d43e708a38,15/9-19,15/9-19 A,3882.2376,1,0.210500001907,0.335816677299,0.210500001907,0.335816677299,0.335816677299
reservoir_property_p51_r1-0bbb78431a16c310d16d,15/9-19,15/9-19 A,3884.3712,1,0.251599997282,0.364911376638,0.251599997282,0.364911376638,0.364911376638
reservoir_property_p51_r1-53b0c2d8b1aa1f1043ea,15/9-19,15/9-19 A,3886.5048,1,0.185699999332,0.307174683051,0.185699999332,0.307174683051,0.307174683051
reservoir_property_p51_r1-21d9afbf8716251e6dcf,15/9-19,15/9-19 A,3888.6384,1,0.214800000191,0.264401360663,0.214800000191,0.264401360663,0.264401360663
reservoir_property_p51_r1-b410868ca057738d21a3,15/9-19,15/9-19 A,3890.772,1,0.230800002813,0.306341327391,0.230800002813,0.306341327391,0.306341327391
reservoir_property_p51_r1-029c92d38f813b260b8c,15/9-19,15/9-19 A,3892.9056,1,0.211899995804,0.380018427838,0.211899995804,0.380018427838,0.380018427838
reservoir_property_p51_r1-fd8572584c089825c58d,15/9-19,15/9-19 A,3895.0392,1,0.285299986601,0.370161980615,0.285299986601,0.370161980615,0.370161980615
reservoir_property_p51_r1-4a98aad73b54e05450d6,15/9-19,15/9-19 A,3897.1728,1,0.25569999218,0.311312656087,0.25569999218,0.311312656087,0.311312656087
reservoir_property_p51_r1-5222af628774f4d29812,15/9-19,15/9-19 A,3899.3064,1,0.202999994159,0.275122261438,0.202999994159,0.275122261438,0.275122261438
reservoir_property_p51_r1-b24f628f40d9912a4a57,15/9-19,15/9-19 A,3901.44,1,0.20530000329,0.227772225013,0.20530000329,0.227772225013,0.227772225013
reservoir_property_p51_r1-98b0c25c053b60754842,15/9-19,15/9-19 A,3903.5736,1,0.243499994278,0.260157148578,0.243499994278,0.260157148578,0.260157148578
reservoir_property_p51_r1-15b0cc17d6f671ddad2f,15/9-19,15/9-19 A,3905.7072,1,0.257699996233,0.27006811329,0.257699996233,0.27006811329,0.27006811329
reservoir_property_p51_r1-37cd85bd1039f0fb621f,15/9-19,15/9-19 A,3907.8408,1,0.20000000298,0.308549599708,0.20000000298,0.308549599708,0.308549599708
reservoir_property_p51_r1-d7cfe2a01f79bc3bfdeb,15/9-19,15/9-19 A,3909.9744,1,0.257499992847,0.2994249729,0.257499992847,0.2994249729,0.2994249729
reservoir_property_p51_r1-1eb04d9daf364c9b0e78,15/9-19,15/9-19 A,3912.108,1,0.245199993253,0.268502914888,0.245199993253,0.268502914888,0.268502914888
reservoir_property_p51_r1-a1d5a592554ea15ffea6,15/9-19,15/9-19 A,3914.2416,1,0.25569999218,0.318602689884,0.25569999218,0.318602689884,0.318602689884
reservoir_property_p51_r1-95e15844b5ac76025022,15/9-19,15/9-19 A,3916.3752,1,0.282700002193,0.349945910449,0.282700002193,0.349945910449,0.349945910449
reservoir_property_p51_r1-5310a7e7b4271355abaa,15/9-19,15/9-19 A,3918.5088,1,0.381700009108,0.441407837709,0.381700009108,0.441407837709,0.441407837709
reservoir_property_p51_r1-a87bb0be089ebb81db40,15/9-19,15/9-19 A,3920.6424,1,1,0.6097953226,1,0.6097953226,0.6097953226
