sample_id,family_id,well_id,depth_m,fold_id,truth_model_domain,prediction_model_domain,truth_physical,prediction_physical_unclipped,prediction_physical_bounded
reservoir_property_p51_r1-c82c5b891df29e7e1807,15/9-19,15/9-19 A,3839.5656,1,0.278200000525,0.415365678559,0.278200000525,0.415365678559,0.415365678559
reservoir_property_p51_r1-1963a20e391bb3309902,15/9-19,15/9-19 A,3841.6992,0,0.179399996996,0.343109905364,0.179399996996,0.343109905364,0.343109905364
reservoir_property_p51_r1-fe974d79cb240d283870,15/9-19,15/9-19 A,3843.8328,1,0.320199996233,0.305930338238,0.320199996233,0.305930338238,0.305930338238
reservoir_property_p51_r1-554169715805611d6505,15/9-19,15/9-19 A,3845.9664,0,0.208000004292,0.337868317797,0.208000004292,0.337868317797,0.337868317797
reservoir_property_p51_r1-e9faa83dbd75146b922d,15/9-19,15/9-19 A,3848.1,0,0.859700024128,0.427936926855,0.859700024128,0.427936926855,0.427936926855
reservoir_property_p51_r1-b21ead1ab61170abe768,15/9-19,15/9-19 A,3850.2336,1,0.851899981499,0.412660962325,0.851899981499,0.412660962325,0.412660962325
reservoir_property_p51_r1-8cbfd7b4b6577ea396b6,15/9-19,15/9-19 A,3852.3672,0,0.203700006008,0.453353086449,0.203700006008,0.453353086449,0.453353086449
reservoir_property_p51_r1-157edc8d66166411b41c,15/9-19,15/9-19 A,3854.5008,2,1,0.579678375843,1,0.579678375843,0.579678375843
reservoir_property_p51_r1-eefb76085578cf371e11,15/9-19,15/9-19 A,3856.6344,2,0.259600013494,0.510007282083,0.259600013494,0.510007282083,0.510007282083
reservoir_property_p51_r1-ba88d3aa1dead4c37a0a,15/9-19,15/9-19 A,3858.768,3,0.232600003481,0.367174106353,0.232600003481,0.367174106353,0.367174106353
reservoir_property_p51_r1-4b01174c986da8207347,15/9-19,15/9-19 A,3860.9016,1,0.101400002837,0.263722297424,0.101400002837,0.263722297424,0.263722297424
reservoir_property_p51_r1-adc4e2d20a333d442972,15/9-19,15/9-19 A,3863.0352,3,0.100900001824,0.211791429069,0.100900001824,0.211791429069,0.211791429069
reservoir_property_p51_r1-86ed2576ff87ddf2e6f9,15/9-19,15/9-19 A,3865.1688,3,0.0854000002146,0.201904336874,0.0854000002146,0.201904336874,0.201904336874
reservoir_property_p51_r1-71e20c83ac5524dbd4aa,15/9-19,15/9-19 A,3867.3024,1,0.0934000015259,0.226038545022,0.0934000015259,0.226038545022,0.226038545022
reservoir_property_p51_r1-8b23836a45e0e18009f5,15/9-19,15/9-19 A,3869.436,1,0.0854000002146,0.20972738447,0.0854000002146,0.20972738447,0.20972738447
reservoir_property_p51_r1-ee4a3c96e1393e892666,15/9-19,15/9-19 A,3871.5696,0,0.101199999452,0.216513580615,0.101199999452,0.216513580615,0.216513580615
reservoir_property_p51_r1-8cffe42d063d40cd6fd3,15/9-19,15/9-19 A,3873.7032,1,0.104400001466,0.290927162946,0.104400001466,0.290927162946,0.290927162946
reservoir_property_p51_r1-74be318bc57b2dd39843,15/9-19,15/9-19 A,3875.8368,0,0.350600004196,0.506316507565,0.350600004196,0.506316507565,0.506316507565
reservoir_property_p51_r1-ef6176b25058728b8a75,15/9-19,15/9-19 A,3877.9704,2,0.169599995017,0.59429971939,0.169599995017,0.59429971939,0.59429971939
reservoir_property_p51_r1-2b8e6ccf04b6acc524ba,15/9-19,15/9-19 A,3880.104,0,0.325599998236,0.534605968471,0.325599998236,0.534605968471,0.534605968471
reservoir_property_p51_r1-05f0299cb2d43e708a38,15/9-19,15/9-19 A,3882.2376,1,0.210500001907,0.405757576642,0.210500001907,0.405757576642,0.405757576642
reservoir_property_p51_r1-0bbb78431a16c310d16d,15/9-19,15/9-19 A,3884.3712,1,0.251599997282,0.42757496351,0.251599997282,0.42757496351,0.42757496351
reservoir_property_p51_r1-53b0c2d8b1aa1f1043ea,15/9-19,15/9-19 A,3886.5048,2,0.185699999332,0.393389223749,0.185699999332,0.393389223749,0.393389223749
reservoir_property_p51_r1-21d9afbf8716251e6dcf,15/9-19,15/9-19 A,3888.6384,1,0.214800000191,0.339946787331,0.214800000191,0.339946787331,0.339946787331
reservoir_property_p51_r1-b410868ca057738d21a3,15/9-19,15/9-19 A,3890.772,3,0.230800002813,0.388294322725,0.230800002813,0.388294322725,0.388294322725
reservoir_property_p51_r1-029c92d38f813b260b8c,15/9-19,15/9-19 A,3892.9056,1,0.211899995804,0.448224857327,0.211899995804,0.448224857327,0.448224857327
reservoir_property_p51_r1-fd8572584c089825c58d,15/9-19,15/9-19 A,3895.0392,1,0.285299986601,0.43584174976,0.285299986601,0.43584174976,0.43584174976
reservoir_property_p51_r1-4a98aad73b54e05450d6,15/9-19,15/9-19 A,3897.1728,3,0.25569999218,0.395670211912,0.25569999218,0.395670211912,0.395670211912
reservoir_property_p51_r1-5222af628774f4d29812,15/9-19,15/9-19 A,3899.3064,0,0.202999994159,0.359692778464,0.202999994159,0.359692778464,0.359692778464
reservoir_property_p51_r1-b24f628f40d9912a4a57,15/9-19,15/9-19 A,3901.44,1,0.20530000329,0.309762739581,0.20530000329,0.309762739581,0.309762739581
reservoir_property_p51_r1-98b0c25c053b60754842,15/9-19,15/9-19 A,3903.5736,2,0.243499994278,0.354412490445,0.243499994278,0.354412490445,0.354412490445
reservoir_property_p51_r1-15b0cc17d6f671ddad2f,15/9-19,15/9-19 A,3905.7072,0,0.257699996233,0.356328112561,0.257699996233,0.356328112561,0.356328112561
reservoir_property_p51_r1-37cd85bd1039f0fb621f,15/9-19,15/9-19 A,3907.8408,0,0.20000000298,0.379613142307,0.20000000298,0.379613142307,0.379613142307
reservoir_property_p51_r1-d7cfe2a01f79bc3bfdeb,15/9-19,15/9-19 A,3909.9744,3,0.257499992847,0.377625672348,0.257499992847,0.377625672348,0.377625672348
reservoir_property_p51_r1-1eb04d9daf364c9b0e78,15/9-19,15/9-19 A,3912.108,2,0.245199993253,0.357035391738,0.245199993253,0.357035391738,0.357035391738
reservoir_property_p51_r1-a1d5a592554ea15ffea6,15/9-19,15/9-19 A,3914.2416,2,0.25569999218,0.403806565769,0.25569999218,0.403806565769,0.403806565769
